old_name,new_name
FLX-OF-610,BHMSC-FLX-OF-610
FLX-OF-619,BHMSC-FLX-OF-619
FLX-OF-636,BHMSC-FLX-OF-636
FLX-OF-637,BHMSC-FLX-OF-637
FLX-CU-652,BHMSC-FLX-CU-652
FLX-CU-653,BHMSC-FLX-CU-653
FLX-CU-654,BHMSC-FLX-CU-654
FLX-CU-655,BHMSC-FLX-CU-655
FLX-CU-658,BHMSC-FLX-CU-658
FLX-CU-662,BHMSC-FLX-CU-662
FLX-CU-669,BHMSC-FLX-CU-669
FLX-CU-670,BHMSC-FLX-CU-670
FLX-CU-672,BHMSC-FLX-CU-672
FLX-CU-673,BHMSC-FLX-CU-673
FLX-CU-674,BHMSC-FLX-CU-674
FLX-CU-675,BHMSC-FLX-CU-675
FLX-CU-676,BHMSC-FLX-CU-676
FLX-CU-678,BHMSC-FLX-CU-678
FLX-CU-679,BHMSC-FLX-CU-679
FLX-CU-680,BHMSC-FLX-CU-680
